Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,Justification
coder-gate,com.github.codergate,CoderGateApplicationTests,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,They are spring boot test classes.
coder-gate,com.github.codergate,CoderGateApplicationTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate,CorsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,This class handles CORS configuration for frontend
coder-gate,com.github.codergate.utils,PullRequestUtil,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: getFalseThresholdKeys,,this is a utility class providing utility methods to the service.
coder-gate,com.github.codergate.utils,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CREATION; ACTION; DELETION; REMOVAL; ADDITION; PUSH_EVENT; PULL_REQUEST; BASE_API; USER_DIR; FRONT_END_URL,,"Constants class, used directly by the entire project"
coder-gate,com.github.codergate.controllers,GithubOAuthController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,They are Restful controller
coder-gate,com.github.codergate.controllers,DashboardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,BranchController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,EventController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,InsightController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,RepositoryController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,WebhookListenerController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,ThresholdController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,AnalysisController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.services,WebHookListenerServiceTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods,,This is a service test class
coder-gate,com.github.codergate.entities,UserEntityTest,Feature Envy,The tool detected a instance of this smell because testRepositoryEntityPersisted is more interested in members of the type: RepositoryEntity,,"They are db entities, hence have different mappings with each other in the table"
coder-gate,com.github.codergate.entities,RepositoryEntityTest,Feature Envy,The tool detected a instance of this smell because testRepositoryEntitySave is more interested in members of the type: RepositoryEntity,,
coder-gate,com.github.codergate.entities,RepositoryEntityTest,Feature Envy,The tool detected a instance of this smell because testRepositoryEntityUpdate is more interested in members of the type: RepositoryEntity,,
coder-gate,com.github.codergate.entities,RepositoryEntityTest,Feature Envy,The tool detected a instance of this smell because testRepositoryEventMapping is more interested in members of the type: RepositoryEntity,,
coder-gate,com.github.codergate.entities,RepositoryEntityTest,Feature Envy,The tool detected a instance of this smell because testRepositoryTagMapping is more interested in members of the type: RepositoryEntity,,
coder-gate,com.github.codergate.entities,BranchId,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: repositoryId; branchUrl,they are  db entity so the standard mapping is done
coder-gate,com.github.codergate.entities,TagEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: tagId; repositoryIdInTag,
coder-gate,com.github.codergate.entities,EventEntity,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: eventId; eventName; commitId; commitMessage; userIdInEvent; repositoryIdInEvent,,they are  db entity so the standard mapping is done
coder-gate,com.github.codergate.entities,RepositoryEntity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RepositoryEntity; ThresholdEntity,,they are getters and setters
coder-gate,com.github.codergate.entities,ThresholdEntity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 44 public methods,,they are getters and setters
coder-gate,com.github.codergate.entities,TagId,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: repositoryId; tagUrl,they are  db entity so the standard mapping is done
coder-gate,com.github.codergate.dto.pullRequest,User,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.pullRequest,Sender,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.pullRequest,PullRequestPayloadDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.pullRequest,Repository,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 160 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.pullRequest,Repo,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 182 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.pullRequest,Owner,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.pullRequest,Parent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.pullRequest,PullRequest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 98 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.pullRequest,CommitsInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.pullRequest,CommitsInformation,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.analysis,Solution,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.analysis,ImplementationSmell,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.analysis,ArchSmell,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.analysis,DesignSmell,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.analysis,AnalysisDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 44 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.analysis,Project,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.installation,InstallationPayloadDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.installation,RepositoriesRemovedDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.installation,AccountDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 57 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.installation,Sender,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 57 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.installation,Installation,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 57 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.installation,RepositoriesDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.installation,Permissions,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.controller,UserResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.controller,UserRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.push,PushEventPayloadDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.push,HeadCommitDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.push,PusherPayloadDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.push,SenderDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.push,CommitDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,they are mapped by controllers
coder-gate,com.github.codergate.dto.push,CommitDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.push,RepositoryDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 162 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.push,OwnerDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods,,they are getters and setters
coder-gate,com.github.codergate.dto.threshold,ThresholdDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods,,they are getters and setters